filename,cik,name,address,city,state,zip,ticker,exchange,subsidiaries
03/000095017023010632.htm,0001327273,"Lyra Therapeutics, Inc.",480 Arsenal Way,Watertown,MA,02472,LYRA,The Nasdaq Global Market,
03/000093454923000031.htm,0000934549,ACACIA RESEARCH CORP,"767 Third Avenue,","New York,",NY,10017,ACTG,The Nasdaq Stock Market LLC,
03/000143774923007041.htm,0000722313,NORTECH SYSTEMS INCORPORATED,7550 Meridian Circle N #150,Maple Grove,MN,55369,NSYS,NASDAQ,
03/000182912623002008.htm,0001865045,Fat Projects Acquisition Corp,27 Bukit Manis Road,Singapore,,099892,FATPU,The Nasdaq Stock Market LLC,
03/000188852423003552.htm,0001789954,,,,,,,,
03/000162828023009609.htm,0001568385,"BRIGHT MOUNTAIN MEDIA, INC.",6400 Congress Avenue,Boca Raton,Florida,33487,,,
03/000095017023008300.htm,0001659323,Iterum Therapeutics plc,Fitzwilliam Court,Dublin 2,,Not applicable,ITRM,Nasdaq,
03/000168316823001562.htm,0000889609,"CONSUMER PORTFOLIO SERVICES, INC.",3800 Howard Hughes Pkwy,Las Vegas,NV,89169,CPSS,Nasdaq,
03/000143774923006166.htm,0001035976,"FNCB BANCORP, INC.",102 E. Drinker St.,Dunmore,PA,18512,FNCB,Nasdaq,
03/000162828023009618.htm,0001843724,"LanzaTech Global, Inc.",8045 Lamon Avenue,Skokie,Illinois,60077,LNZA,NASDAQ,
03/000095017023010921.htm,0001701108,"SPERO THERAPEUTICS, INC.","675 Massachusetts Avenue,",Cambridge,Massachusetts,02139,SPRO,The Nasdaq Global Select Market,
03/000119312523083808.htm,0001912461,SK GROWTH OPPORTUNITIES CORPORATION,228 Park Avenue S #96693,New York,New York,10003,SKGRU,The Nasdaq Stock Market LLC,
03/000155837023002607.htm,0000906465,"QCR HOLDINGS, INC.",3551 7th Street,Moline,Illinois,61265,QCRH,The Nasdaq Global Market,
03/000095017023010314.htm,0001468748,KODIAK SCIENCES INC.,1200 Page Mill Road,Palo Alto,CA,94304,KOD,The Nasdaq Stock Market LLC,
03/000008474823000019.htm,0000084748,ROGERS CORP,2225 W. Chandler Blvd.,Chandler,Arizona,85224-6155,ROG,New York Stock Exchange,
03/000188852423004052.htm,0001883246,,,,,,,,
03/000156459023002876.htm,0000046195,BANK OF HAWAII CORPORATION,130 Merchant Street,Honolulu,Hawaii,96813,BOH,New York Stock Exchange,
03/000095017023005891.htm,0001381531,Domtar Corporation,234 Kingsley Park Drive,Fort Mill,SC,29715,,,
03/000093783423000007.htm,0000937834,Metropolitan Life Insurance Co,"200 Park Avenue,","New York,",NY,10166-0188,,,
03/000165495423003384.htm,0001645469,MONOPAR THERAPEUTICS INC.,1000 Skokie Blvd.,Wilmette,IL,60091,MNPR,Nasdaq,mnpr_ex211.htm
03/000155837023005302.htm,0001136294,Williams Industrial Services Group Inc.,200 Ashford Center North,Atlanta,GA,30338,WLMS,NYSE,
03/000121390023025428.htm,0001821146,BETTER WORLD ACQUISITION CORP.,775 Park Avenue,New York,New York,10021,BWAC,The Nasdaq Stock Market LLC,
03/000155837023004792.htm,0001626971,"Corvus Pharmaceuticals, Inc.","863 Mitten Road, Suite 102",Burlingame,CA,94010,CRVS,Nasdaq Global Market,
03/000147793223001788.htm,0001096938,"UNITED HEALTH PRODUCTS, INC.",526 Commerce Circle,Mesquite,NV,89027,,,
03/000156459023004670.htm,0001853928,ANTHEMIS DIGITAL ACQUISITIONS I CORP,122 Hudson Street,New York,New York,10013,ADALU,The Nasdaq Global Select Market,
03/000155837023004547.htm,0000763907,First United Corporation,19 South Second Street,Oakland,Maryland,21550-0009,FUNC,Nasdaq Stock Market,
03/000114036123013738.htm,0001043951,CAMPBELL FUND TRUST,2850 Quarry Lake Drive,Baltimore,Maryland,21209,,,
03/000149315223007129.htm,0000876343,"Lineage Cell Therapeutics, Inc.",2173 Salk Avenue,Carlsbad,California,92008,LCTX,NYSE American,
03/000121390023022463.htm,0001553643,"Relmada Therapeutics, Inc.",2222 Ponce de Leon Blvd,Coral Gables,FL,33134,RLMD,NASDAQ,
03/000114036123015464.htm,0001870129,ROSE HILL ACQUISITION CORPORATION,981 Davis Dr NW,Atlanta,GA,30327,ROSEU,Nasdaq Global Market,
03/000119312523087385.htm,0000066496,MILLS MUSIC TRUST,"c/o HSBC BANK USA, N.A., Corporate Trust, Issuer Services",New York,NY,10018,,,
03/000121390023020621.htm,0001605888,SeqLL Inc.,3 Federal Street,Billerica,,01821,SQL,The Nasdaq Stock Market LLC,
03/000155837023003144.htm,0001257640,"KRONOS WORLDWIDE, INC.",5430 LBJ Freeway,Dallas,Texas,75240-2620,KRO,NYSE,
03/000190171123000011.htm,,,,,,,,,
03/000183988223007887.htm,0000883107,NANOPHASE TECHNOLOGIES CORPORATION,1319 Marquette Drive,Romeoville,Illinois,60446,,,ex21-1.htm
03/000149315223010279.htm,0001874875,"HOUR LOOP, INC.",8201 164th Ave. NE,Redmond,VA,98052-7615,HOUR,Nasdaq,
03/000169281923000005.htm,0001692819,Vistra Corp.,6555 Sierra Drive,"Irving,",Texas,75039,VST,New York Stock Exchange,
03/000095017023009502.htm,0001841800,"Nogin, Inc.",1775 Flight Way,Tustin,California,92782,NOGN,The Nasdaq Stock Market LLC,
03/000147793223001798.htm,0001792941,GENVOR INCORPORATED,13155 Noel Road,Dallas,Texas,75240,,,
03/000121390023025611.htm,0001856589,M3-Brigade Acquisition III Corp.,1700 Broadway,New York,NY,10019,MBSC,New York Stock Exchange,
03/000095017023005850.htm,0001674760,Goldman Sachs Private Middle Market Credit LLC,200 West Street,New York,New York,10282,,,
03/000149315223008718.htm,0001360214,"HARROW HEALTH, INC.",102 Woodmont Blvd.,Nashville,TN,37205,HROW,Nasdaq,
03/000195175223000016.htm,,,,,,,,,
03/000188852423003124.htm,0001774962,,,,,,,,
03/000089424523000031.htm,0001185198,AEI INCOME & GROWTH FUND 25 LLC,"30 East 7th Street, Suite 1300",St. Paul,Minnesota,55101,,,
03/000188852423003358.htm,0001840121,,,,,,,,
03/000032001723000011.htm,0000320017,"LISATA THERAPEUTICS, INC.","110 Allen Road, 2nd Floor",Basking Ridge,New Jersey,07920,LSTA,Nasdaq,ex211to10k20221231.htm
03/000149315223010169.htm,0001802546,"KONA GOLD BEVERAGE, INC.",746 North Drive,Melbourne,Florida,32934,KGKG,,
03/000141057823000594.htm,0001509223,Renren Inc.,"45 West Buchanan Street,",Phoenix,Arizona,85003,RENN,The New York Stock Exchange,
03/000107261323000275.htm,0001065078,"NETWORK-1 TECHNOLOGIES, INC.",65 Locust Avenue,New Canaan,Connecticut,06840,NTIP,NYSE American,
03/000166471023000021.htm,0001664710,"KEROS THERAPEUTICS, INC.","1050 Waltham Street,","Lexington,",Massachusetts,02421,KROS,The Nasdaq Stock Market LLC,
03/000143774923007539.htm,0001036262,INTEST CORP,"804 East Gate Drive, Suite 200",Mt. Laurel,New Jersey,08054,INTT,NYSE American,
03/000141057823000367.htm,0001844981,StoneBridge Acquisition Corporation,One World Trade Center,New York,NY,10007,APACU,NASDAQ,
03/000095017023007063.htm,0001274792,MERRIMACK PHARMACEUTICALS INC,One Broadway,Cambridge,MA,02142,MACK,Nasdaq Global Market,
03/000188852423003597.htm,0001579306,,,,,,,,
03/000165495423003557.htm,0000718413,Community Bancorp. /VT,4811 US Route 5,Derby,Vermont,05829,,,
03/000142146123000010.htm,0001421461,"INTREPID POTASH, INC.","707 17th Street, Suite 4200","Denver,",Colorado,80202,IPI,New York Stock Exchange,ipi12312022exhibit211.htm
03/000095017023007845.htm,0001351636,"ShotSpotter, Inc.",39300 Civic Center Dr.,Fremont,California,94538,SSTI,Nasdaq,
03/000192553123000003.htm,0001925531,"New Mountain Guardian IV BDC, L.L.C.","1633 Broadway, 48th Floor",New York,New York,10019,,,
03/000121390023024218.htm,0001758009,QUANTUM COMPUTING INC.,215 Depot Court SE,Leesburg,VA,20175,QUBT,Nasdaq,
03/000119312523088301.htm,0001879297,LAMF GLOBAL VENTURES CORP. I,9255 Sunset Blvd,West Hollywood,California,90069,LGVCU,The Nasdaq Stock Market LLC,
03/000155837023002989.htm,0001640266,"Voyager Therapeutics, Inc.",64 Sidney Street,Cambridge,Massachusetts,02139,VYGR,Nasdaq Global Select Market,
03/000158034523000008.htm,0001580345,TriplePoint Venture Growth BDC Corp.,2755 Sand Hill Road,Menlo Park,California,94025,TPVG,The New York Stock Exchange,
03/000110465923039018.htm,,,,,,,,,
03/000193674823000012.htm,0001936748,,,,,,,,
03/000141057823000564.htm,0001855447,ROTH CH ACQUISITION IV CO.,"888 San Clemente Drive, Suite 400",Newport Beach,CA,92660,ROCG,Nasdaq,
03/000180822023000036.htm,0001808220,"GoHealth, Inc.",214 West Huron St.,"Chicago,",Illinois,60654,GOCO,The Nasdaq Global Market,
03/000164033423000427.htm,0001794942,STARK FOCUS GROUP INC.,38 S Federal Highway,Dania Beach,FL,33004,,,
03/000185127723000005.htm,0001851277,Carlyle Secured Lending III,One Vanderbilt Avenue,New York,NY,10017,,,
